,Movie,Released Year,Certificate,Duration,Genre,Rating,Metascore,Votes
0,Zack Snyder's Justice League,2021,R,242 min,"Action, Adventure, Fantasy",8.1,54,"307,714"
1,Aspirants,2021– ,45 min,45 min,Drama,9.7,Not available,"272,410"
2,WandaVision,2021,TV-PG,350 min,"Action, Comedy, Drama",8.1,Not available,"187,591"
3,Radhe,2021,TV-MA,135 min,"Action, Crime, Thriller",1.8,Not available,"163,676"
4,Godzilla vs. Kong,2021,PG-13,113 min,"Action, Sci-Fi, Thriller",6.4,59,"147,296"
5,Army of the Dead,2021,R,148 min,"Action, Crime, Horror",5.8,57,"122,962"
6,The Falcon and the Winter Soldier,2021,TV-14,50 min,"Action, Adventure, Drama",7.4,Not available,"120,040"
7,Mortal Kombat,2021,R,110 min,"Action, Adventure, Fantasy",6.2,44,"118,168"
8,Nobody,I 2021,R,92 min,"Action, Crime, Drama",7.4,64,"112,525"
9,Raya and the Last Dragon,2021,PG,107 min,"Animation, Action, Adventure",7.4,75,"87,853"
10,Cruella,2021,PG-13,134 min,"Comedy, Crime",7.4,59,"80,576"
11,Lupin,2021– ,TV-MA,45 min,"Action, Crime, Drama",7.5,Not available,"76,026"
12,Invincible,2021– ,TV-MA,364 min,"Animation, Action, Adventure",8.8,Not available,"70,184"
13,Wrath of Man,2021,R,119 min,"Action, Crime, Thriller",7.2,57,"66,758"
14,Mare of Easttown,2021,TV-MA,410 min,"Crime, Drama, Mystery",8.5,Not available,"64,731"
15,The Little Things,2021,R,128 min,"Crime, Drama, Mystery",6.3,54,"64,447"
16,The Mitchells vs the Machines,2021,PG,113 min,"Animation, Adventure, Comedy",7.7,80,"62,892"
17,Master,2021,Not Rated,179 min,"Action, Thriller",7.9,Not available,"60,354"
18,Coming 2 America,2021,PG-13,110 min,Comedy,5.3,52,"58,545"
19,The Dig,2021,PG-13,112 min,"Biography, Drama, History",7.1,73,"58,215"
20,The Conjuring: The Devil Made Me Do It,2021,R,112 min,"Horror, Mystery, Thriller",6.4,53,"57,132"
21,Loki,2021– ,TV-14,Not available,"Action, Adventure, Fantasy",8.9,Not available,"56,252"
22,Shadow and Bone,2021– ,TV-14,Not available,"Action, Adventure, Drama",7.7,Not available,"55,901"
23,Tandav,2021– ,TV-14,30 min,"Drama, Thriller",3.7,Not available,"55,416"
24, Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.9,Not available,"54,414"
25,The Woman in the Window,2021,R,100 min,"Crime, Drama, Mystery",5.7,41,"52,361"
26,Judas and the Black Messiah,2021,R,126 min,"Biography, Drama, History",7.5,85,"52,078"
27,The White Tiger,2021,R,125 min,"Crime, Drama",7.1,76,"50,561"
28,Friends: The Reunion,2021 TV Special,TV-14,104 min,"Comedy, Romance",8.1,Not available,"46,409"
29,Behind Her Eyes,2021,TV-MA,298 min,"Drama, Mystery, Thriller",7.2,Not available,"45,517"
30,Luca,2021,PG,95 min,"Animation, Adventure, Comedy",7.6,71,"42,645"
31,Tom Clancy's Without Remorse,2021,R,109 min,"Action, Thriller, War",5.8,41,"42,604"
32, Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.9,Not available,"39,908"
33, Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.9,Not available,"38,221"
34,Outside the Wire,2021,R,114 min,"Action, Adventure, Fantasy",5.4,45,"36,449"
35,Stowaway,2021,TV-MA,116 min,"Drama, Sci-Fi, Thriller",5.6,63,"35,105"
36,Thunder Force,2021,PG-13,106 min,"Action, Adventure, Comedy",4.4,34,"34,442"
37,Those Who Wish Me Dead,2021,R,100 min,"Action, Drama, Thriller",6.0,59,"34,367"
38,Ginny & Georgia,2021– ,TV-14,Not available,"Comedy, Drama",7.5,Not available,"33,735"
39,Boss Level,2021,TV-MA,94 min,"Action, Mystery, Sci-Fi",6.9,56,"32,849"
